Date,THREATS_GPR_AI,ACTS_GPR_AI,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-05-22,170.51,27.6,113.66,168.54,73.11,116.31,0.0,0.0,0.0,0.0,73.11,0.0,0.0,0.0
2020-05-23,94.64,26.12,71.19,125.35,0.0,75.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,52.83,24.18,37.7,20.83,126.48,31.9,54.21,0.0,0.0,54.21,72.27,0.0,0.0,0.0
2020-05-25,67.77,91.87,79.65,116.88,243.36,68.95,0.0,0.0,0.0,0.0,121.68,0.0,121.68,0.0
2020-05-26,68.44,67.47,58.32,94.43,327.69,40.71,229.38,0.0,0.0,98.31,98.31,0.0,0.0,0.0
2020-05-27,78.11,67.55,71.67,30.25,157.47,66.06,78.73,0.0,78.73,0.0,78.73,0.0,0.0,0.0
2020-05-28,144.48,73.96,97.96,107.34,106.42,97.41,0.0,0.0,0.0,0.0,0.0,0.0,106.42,0.0
2020-05-29,133.72,72.38,93.99,188.12,75.33,95.21,0.0,0.0,0.0,0.0,75.33,0.0,75.33,0.0
2020-05-30,139.77,60.07,109.52,158.24,102.96,109.95,0.0,0.0,102.96,0.0,0.0,0.0,102.96,0.0
2020-05-31,101.56,27.31,68.37,101.91,53.05,69.37,0.0,0.0,53.05,0.0,0.0,0.0,53.05,0.0
2020-06-01,57.68,92.41,72.04,139.28,0.0,76.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,74.33,65.14,72.81,91.17,79.09,72.39,0.0,0.0,0.0,0.0,79.09,0.0,0.0,0.0
2020-06-03,92.98,75.95,93.67,102.63,0.0,99.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,106.89,56.45,85.99,70.23,0.0,91.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,63.89,68.03,70.59,141.04,73.42,70.4,0.0,0.0,0.0,0.0,73.42,0.0,0.0,0.0
2020-06-06,50.78,32.18,49.02,80.07,104.19,45.41,0.0,0.0,0.0,0.0,104.19,0.0,0.0,0.0
2020-06-07,29.55,47.33,41.24,50.96,159.15,33.53,0.0,0.0,0.0,0.0,159.15,0.0,0.0,0.0
2020-06-08,60.17,39.55,58.93,88.55,115.23,55.25,115.23,0.0,0.0,115.23,0.0,0.0,0.0,0.0
2020-06-09,31.22,21.55,31.19,34.46,0.0,33.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
