symbol,period_q,assets,cfo,current_liab,liabilities,year,q,pidx,avg_assets,cfo_assets,leverage,log_assets,liab_ratio,HL67,Threat,Acts,Threat_z,Acts_z
VDP,2025Q1,1016174304579.0,-36427474866.0,259909558950.0,259909558950.0,2025,1,8101,1071001822226.5,-0.03401252370446123,0.2557726147756514,27.647066009995168,0.2557726147756514,0,204.67611111111108,158.13688888888888,1.9645368635684903,0.23110756553154763
VDP,2025Q2,1117603609788.0,53215895557.0,394421057517.0,394421057517.0,2025,2,8102,1066888957183.5,0.04987950732706582,0.3529167712618773,27.74220787483026,0.3529167712618773,0,208.58879120879124,175.05054945054945,2.061955444553267,0.5221154723443423
VDP,2025Q3,1052224008158.0,-78417320173.0,302010925809.0,302010925809.0,2025,3,8103,1084913808973.0,-0.07227976962264986,0.2870215120235601,27.681927143087925,0.2870215120235601,0,154.99913043478261,157.58869565217393,0.7276708678114048,0.22167562938952975
VDP,2025Q4,1116021302228.0,209701317640.0,365949376643.0,365949376643.0,2025,4,8104,1084122655193.0,0.19342951338164602,0.32790536875275306,27.740791067723414,0.32790536875275306,0,154.22652173913045,160.03815217391303,0.7084343238292993,0.26381974199138886
VDS,2020Q1,2037751301739.0,67275289328.0,1079979157927.0,1080681472339.0,2020,1,8081,2168648404718.0,0.031021759535404328,0.5303304046066639,28.342868012732698,0.5299857529254698,1,111.37593406593406,96.85527472527473,-0.35846696665995,-0.8232729571736912
VDS,2020Q2,2217156769304.0,105752409943.0,1157130923562.0,1158699157461.0,2020,2,8082,2127454035521.5,0.0497084346722805,0.5226058768161593,28.42724675642357,0.5218985592639177,1,62.00758241758241,46.14659340659341,-1.5876486638785376,-1.6957409338124345
VDS,2020Q3,2263799223427.0,-290315138980.0,1167617100141.0,1168229733141.0,2020,3,8083,2240477996365.5,-0.12957732209419096,0.516048296620803,28.44806559010509,0.5157776750066333,1,79.62728260869565,67.83565217391305,-1.1489503427423007,-1.3225699357539455
VDS,2020Q4,2568355587149.0,197113792546.0,1390463539965.0,1402839017010.0,2020,4,8084,2416077405288.0,0.08158422081783583,0.5462012441070201,28.574286960686347,0.5413828003109501,1,67.58434782608695,61.38478260869565,-1.4487974010565108,-1.4335603415535976
VDS,2021Q1,2963041817400.0,-600322448761.0,1670857008844.0,1673509784943.0,2021,1,8085,2765698702274.5,-0.21705995966491112,0.5647945213312804,28.71723749761647,0.5638992332245037,1,79.96711111111111,70.47822222222223,-1.1404892343314383,-1.277103209283875
VDS,2021Q2,3505094349924.0,-203597296345.0,2036412182359.0,2056938592033.0,2021,2,8086,3234068083662.0,-0.06295393018271363,0.5868425744595435,28.885238554718708,0.5809864097961172,1,77.50791208791209,80.25483516483517,-1.2017187939218685,-1.1088917415311286
VDS,2021Q3,3887201028381.0,-470374106496.0,2350162677178.0,2365638333070.0,2021,3,8087,3696147689152.5,-0.12726063622307618,0.6085711327503113,28.988710484593792,0.6045899504602753,1,85.44021739130434,119.40065217391304,-1.0042188942871753,-0.43536857209311014
VDS,2021Q4,4033154108571.0,324288896721.0,2322942181672.0,2387290809084.0,2021,4,8088,3960177568476.0,0.08188746365880671,0.5919165855851337,29.025569842984343,0.5759616714708303,1,82.0075,66.69597826086957,-1.0896872813860612,-1.3421785898755563
VDS,2022Q1,5412435605566.0,-1423830484874.0,3596477062975.0,3707025810174.0,2022,1,8089,4722794857068.5,-0.30148048517139914,0.6849089911317923,29.31972031183137,0.6644840373299743,1,157.0208888888889,240.22233333333332,0.7780089569922162,1.6434282917570273
VDS,2022Q2,4175619191330.0,1303682341127.0,2577984284352.0,2701287370623.0,2022,2,8090,4794027398448.0,0.2719388590789133,0.6469189949676895,29.06028377253523,0.61738970107829,1,121.56472527472526,226.53725274725275,-0.10478469345312412,1.4079697024468536
VDS,2022Q3,5002958173354.0,-152108105654.0,3354059522761.0,3500847247586.0,2022,3,8091,4589288682342.0,-0.03314415722838695,0.699755449931939,29.241050488086657,0.670415263638398,1,127.40097826086956,178.60108695652173,0.04052733563799561,0.5832042286136634
VDS,2022Q4,4254126021147.0,-44657838833.0,2035783594325.0,2171214670579.0,2022,4,8092,4628542097250.5,-0.009648359655090566,0.510378550091376,29.07891045642084,0.4785433210500216,1,122.10489130434782,169.29152173913045,-0.09133554688650089,0.4230285482886556
VDS,2023Q1,3976419611760.0,211963039645.0,1707338428136.0,1837781205697.0,2023,1,8093,4115272816453.5,0.05150643689952677,0.4621698374743658,29.01140293531127,0.42936575986263087,1,121.84666666666668,146.85122222222222,-0.09776486825962302,0.03693208106556696
