symbol,report,period_q,item_id,value
AAA,cash_flow,2019Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,647550364257.0
AAA,cash_flow,2019Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,291542085809.0
AAA,cash_flow,2019Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,83956119016.0
AAA,cash_flow,2019Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-218406187515.0
AAA,cash_flow,2018Q4,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,122735023327.0
AAA,cash_flow,2018Q3,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,109037834681.0
AAA,cash_flow,2018Q2,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,136571649303.0
AAA,cash_flow,2018Q1,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,-329803729367.0
ADC,balance_sheet,2025Q4,BS_TOTAL_ASSETS,194696823865.0
ADC,balance_sheet,2025Q4,BS_TOTAL_LIABILITIES,108719555938.0
ADC,balance_sheet,2025Q4,BS_SHORT_TERM_LIABILITIES,108719555938.0
ADC,balance_sheet,2025Q3,BS_TOTAL_ASSETS,159582888942.0
ADC,balance_sheet,2025Q3,BS_TOTAL_LIABILITIES,78989872053.0
ADC,balance_sheet,2025Q3,BS_SHORT_TERM_LIABILITIES,78989872053.0
ADC,balance_sheet,2025Q2,BS_TOTAL_ASSETS,154198589070.0
ADC,balance_sheet,2025Q2,BS_TOTAL_LIABILITIES,76752045256.0
ADC,balance_sheet,2025Q2,BS_SHORT_TERM_LIABILITIES,76752045256.0
ADC,balance_sheet,2025Q1,BS_TOTAL_ASSETS,145076006992.0
ADC,balance_sheet,2025Q1,BS_TOTAL_LIABILITIES,60442105427.0
ADC,balance_sheet,2025Q1,BS_SHORT_TERM_LIABILITIES,60442105427.0
ADC,balance_sheet,2024Q4,BS_TOTAL_ASSETS,174870723461.0
ADC,balance_sheet,2024Q4,BS_TOTAL_LIABILITIES,91688824746.0
ADC,balance_sheet,2024Q4,BS_SHORT_TERM_LIABILITIES,91688824746.0
ADC,balance_sheet,2024Q3,BS_TOTAL_ASSETS,209534706029.0
ADC,balance_sheet,2024Q3,BS_TOTAL_LIABILITIES,131109815631.0
ADC,balance_sheet,2024Q3,BS_SHORT_TERM_LIABILITIES,131109815631.0
ADC,balance_sheet,2024Q2,BS_TOTAL_ASSETS,157754462559.0
ADC,balance_sheet,2024Q2,BS_TOTAL_LIABILITIES,83396410042.0
ADC,balance_sheet,2024Q2,BS_SHORT_TERM_LIABILITIES,83396410042.0
ADC,balance_sheet,2024Q1,BS_TOTAL_ASSETS,144563920777.0
ADC,balance_sheet,2024Q1,BS_TOTAL_LIABILITIES,64698453898.0
ADC,balance_sheet,2024Q1,BS_SHORT_TERM_LIABILITIES,64698453898.0
ADC,balance_sheet,2023Q4,BS_TOTAL_ASSETS,161423736352.0
ADC,balance_sheet,2023Q4,BS_TOTAL_LIABILITIES,83396357035.0
ADC,balance_sheet,2023Q4,BS_SHORT_TERM_LIABILITIES,83396357035.0
ADC,balance_sheet,2023Q3,BS_TOTAL_ASSETS,192793423048.0
ADC,balance_sheet,2023Q3,BS_TOTAL_LIABILITIES,119661043035.0
ADC,balance_sheet,2023Q3,BS_SHORT_TERM_LIABILITIES,119661043035.0
ADC,balance_sheet,2023Q2,BS_TOTAL_ASSETS,141137263999.0
ADC,balance_sheet,2023Q2,BS_TOTAL_LIABILITIES,72201189119.0
ADC,balance_sheet,2023Q2,BS_SHORT_TERM_LIABILITIES,72201189119.0
ADC,balance_sheet,2023Q1,BS_TOTAL_ASSETS,158100146725.0
ADC,balance_sheet,2023Q1,BS_TOTAL_LIABILITIES,83953593842.0
ADC,balance_sheet,2023Q1,BS_SHORT_TERM_LIABILITIES,83953593842.0
ADC,balance_sheet,2022Q4,BS_TOTAL_ASSETS,164137958476.0
ADC,balance_sheet,2022Q4,BS_TOTAL_LIABILITIES,92384316224.0
ADC,balance_sheet,2022Q4,BS_SHORT_TERM_LIABILITIES,92384316224.0
ADC,balance_sheet,2022Q3,BS_TOTAL_ASSETS,154035912792.0
ADC,balance_sheet,2022Q3,BS_TOTAL_LIABILITIES,78233239661.0
ADC,balance_sheet,2022Q3,BS_SHORT_TERM_LIABILITIES,78233239661.0
ADC,balance_sheet,2022Q2,BS_TOTAL_ASSETS,119993340966.0
ADC,balance_sheet,2022Q2,BS_TOTAL_LIABILITIES,57465460006.0
ADC,balance_sheet,2022Q2,BS_SHORT_TERM_LIABILITIES,57465460006.0
ADC,balance_sheet,2022Q1,BS_TOTAL_ASSETS,129429843303.0
ADC,balance_sheet,2022Q1,BS_TOTAL_LIABILITIES,61043800748.0
ADC,balance_sheet,2022Q1,BS_SHORT_TERM_LIABILITIES,61043800748.0
ADC,balance_sheet,2021Q4,BS_TOTAL_ASSETS,143713294738.0
ADC,balance_sheet,2021Q4,BS_TOTAL_LIABILITIES,76811989321.0
ADC,balance_sheet,2021Q4,BS_SHORT_TERM_LIABILITIES,76811989321.0
