symbol,pre_quarters,baseline_liab_ratio,HL67
KOS,8,0.20953614995900277,0
KSA,2,0.1968652057193333,0
KSB,8,0.26688015352516226,0
KSD,8,0.02609561930575707,0
KST,8,0.5572069896880203,1
KTS,8,0.42919772822091096,0
L10,8,0.6279336351751873,1
L14,8,0.2727472035800279,0
L18,8,0.737154223815945,1
LAS,8,0.550289547541655,1
LBE,8,0.18537900709511823,0
LBM,8,0.19539189570059112,0
LCD,8,0.6401237741448622,1
LCG,8,0.5968688049354272,1
LDG,8,0.3935478163547882,0
LDP,8,0.5895107050098898,1
LGC,8,0.2027802738118088,0
LGL,8,0.5219366889657251,1
LHC,8,0.32832615382299224,0
LHG,8,0.2599251047909691,0
LIG,8,0.6757321290061375,1
LIX,8,0.27976042846348176,0
LM8,8,0.8310516123346192,1
LSS,8,0.3493296498772024,0
MAC,8,0.2610177642767758,0
MAS,8,0.39258638073972796,0
MBG,8,0.12566834098933471,0
MBS,8,0.4719669537733435,0
MCC,8,0.1567593006521942,0
MCF,8,0.4721168508083521,1
MCO,8,0.5690094112237243,1
MCP,8,0.23678649645375033,0
MDC,8,0.45239498489461755,0
MDG,8,0.44615577148228647,0
MEL,8,0.741689988302029,1
MHC,8,0.20374505525559516,0
MKV,8,0.4406302705258994,0
MSH,8,0.5104643680749128,1
MSN,8,0.24011881087970566,0
MST,8,0.20414125415170634,0
MWG,8,0.6357339127448672,1
NAF,8,0.3308866795785017,0
NAG,8,0.6704473937047308,1
NAP,8,0.10325184829496381,0
NAV,8,0.42015450151623335,0
NBB,8,0.49487845680147374,1
NBC,8,0.34160123686066723,0
NBP,8,0.36218394411955035,0
NBW,8,0.3628192263019948,0
NCT,8,0.12937651429787195,0
NDN,8,0.6640202336139973,1
NDX,8,0.5215247098753357,1
NET,8,0.48690492234116267,1
NFC,8,0.21389985231241881,0
NHC,8,0.10132326398401947,0
NHH,4,0.3923626465956953,0
NKG,8,0.5059883778336178,1
NLG,8,0.2711995505240469,0
NNC,8,0.20804248590355695,0
NRC,8,0.3252161285743791,0
NSH,8,0.7151930553284405,1
NST,8,0.6167062112590675,1
NT2,8,0.37316698656559855,0
