period,item_id,display_order,level,unit,item,value,symbol
2023,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0,NKG
2023,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,NKG
2023,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,133475062463.0,NKG
2023,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,0.0,NKG
2022,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,0.0,NKG
2022,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,NKG
2022,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,NKG
2022,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,271184343033.0,NKG
2022,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,2374950035.0,NKG
2022,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,NKG
2022,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,240515017774.0,NKG
2022,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,0.0,NKG
2021,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,1053762933.0,NKG
2021,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,NKG
2021,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,NKG
2021,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,183991980618.0,NKG
2021,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0,NKG
2021,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,NKG
2021,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,133371508917.0,NKG
2021,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,20359041207.0,NKG
2020,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,43882158.0,NKG
2020,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,NKG
2020,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,NKG
2020,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,59600960577.0,NKG
2020,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0,NKG
2020,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,NKG
2020,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,57345696286.0,NKG
2020,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,1368014070.0,NKG
2019,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,0.0,NKG
2019,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,NKG
2019,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,NKG
2019,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,38596918483.0,NKG
2019,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0,NKG
