month,GPR,GPRT,GPRA,GPRC_VNM,GPRHC_VNM,Quarter
2021-04-01,88.16622161865234,109.58695983886719,67.87379455566406,0.09776991605758667,0.09206689894199371,2021Q2
2021-05-01,93.00713348388672,120.7828369140625,52.62611389160156,0.0454338937997818,0.07419498264789581,2021Q2
2021-06-01,74.12712097167969,92.54654693603516,46.34864044189453,0.02784998156130314,0.0315357930958271,2021Q2
2021-07-01,58.42076873779297,64.03631591796875,50.7158317565918,0.04929640516638756,0.07686395198106766,2021Q3
2021-08-01,89.4865493774414,103.20159149169922,76.48285675048828,0.2124064713716507,0.18799936771392822,2021Q3
2021-09-01,80.69696807861328,92.04731750488281,67.94027709960938,0.08895131200551987,0.12422360479831696,2021Q3
2021-10-01,79.02923583984375,93.80802917480469,61.149112701416016,0.02688533440232277,0.04452359676361084,2021Q4
2021-11-01,86.56914520263672,121.5009536743164,39.74269104003906,0.018952853977680206,0.03248335048556328,2021Q4
2021-12-01,105.34542083740234,155.3102569580078,47.65493392944336,0.03455936908721924,0.01603849232196808,2021Q4
2022-01-01,138.67498779296875,199.48751831054688,63.251529693603516,0.053325578570365906,0.06428801268339157,2022Q1
2022-02-01,216.1590118408203,320.6058654785156,105.21830749511719,0.08053961396217346,0.08203445374965668,2022Q1
2022-03-01,318.9549255371094,403.713623046875,250.9558563232422,0.06740491092205048,0.06036824733018875,2022Q1
2022-04-01,191.14309692382812,221.91055297851562,184.41781616210938,0.0874839648604393,0.16048789024353027,2022Q2
2022-05-01,142.25848388671875,166.424560546875,140.13734436035156,0.07356686145067215,0.11878248304128647,2022Q2
2022-06-01,130.7073211669922,160.72695922851562,114.81468963623047,0.07063809782266617,0.10802469402551651,2022Q2
2022-07-01,117.17676544189453,141.24293518066406,97.83872985839844,0.04066457599401474,0.09398496150970459,2022Q3
2022-08-01,132.86322021484375,159.38302612304688,111.15857696533203,0.05921364203095436,0.015951506793498993,2022Q3
2022-09-01,131.98587036132812,170.31179809570312,108.6280746459961,0.05891016125679016,0.062227752059698105,2022Q3
2022-10-01,143.16241455078125,185.2843017578125,112.6750259399414,0.08519823104143143,0.09104704111814499,2022Q4
2022-11-01,116.7162857055664,143.0465545654297,98.68260955810547,0.068418949842453,0.10792475938796997,2022Q4
2022-12-01,111.19593811035156,119.1385269165039,109.772216796875,0.024796973913908005,0.03318400681018829,2022Q4
2023-01-01,104.26704406738281,113.02135467529297,94.62993621826172,0.06949709355831146,0.06693440675735474,2023Q1
2023-02-01,120.99437713623047,147.05015563964844,103.02875518798828,0.08005336672067642,0.16042780876159668,2023Q1
2023-03-01,105.37997436523438,125.08584594726562,86.75404357910156,0.02358768694102764,0.01662786863744259,2023Q1
2023-04-01,106.80965423583984,118.16682434082031,93.2484130859375,0.07133592665195465,0.09069471806287766,2023Q2
2023-05-01,108.46768188476562,122.47150421142578,92.75943756103516,0.08481764048337936,0.12574097514152527,2023Q2
2023-06-01,110.52894592285156,129.40652465820312,95.2789077758789,0.07951556891202927,0.11131725460290909,2023Q2
2023-07-01,107.44878387451172,123.80915069580078,91.76800537109375,0.06830601394176483,0.1304509937763214,2023Q3
2023-08-01,101.14118194580078,117.60943603515625,83.60504913330078,0.0728067010641098,0.05501558631658554,2023Q3
2023-09-01,98.63481140136719,125.65179443359375,68.4659194946289,0.15124931931495667,0.07423905283212662,2023Q3
2023-10-01,197.8870086669922,205.04005432128906,221.80393981933594,0.04776975139975548,0.03546728193759918,2023Q4
2023-11-01,156.69613647460938,143.49435424804688,189.5543975830078,0.11264785379171371,0.23001724481582642,2023Q4
2023-12-01,142.2794647216797,136.1783905029297,173.96380615234375,0.06436663120985031,0.07623403519392014,2023Q4
2024-01-01,160.3736572265625,140.83609008789062,208.4711456298828,0.09394964575767517,0.13266998529434204,2024Q1
2024-02-01,146.59817504882812,140.2446746826172,171.18118286132812,0.032716087996959686,0.01717033050954342,2024Q1
2024-03-01,133.21316528320312,121.53968048095703,151.81399536132812,0.036882221698760986,0.03151591494679451,2024Q1
2024-04-01,163.9473419189453,170.697998046875,165.99069213867188,0.07594455778598785,0.06651147454977036,2024Q2
2024-05-01,130.52186584472656,131.44712829589844,133.154296875,0.09175433963537216,0.0989772379398346,2024Q2
2024-06-01,113.0927963256836,125.71302795410156,109.73841094970703,0.10778594762086868,0.11655011773109436,2024Q2
2024-07-01,92.3948745727539,95.1602783203125,95.11029815673828,0.05542554333806038,0.11780545115470886,2024Q3
2024-08-01,140.97506713867188,124.80498504638672,165.17947387695312,0.06962906569242477,0.03288932889699936,2024Q3
2024-09-01,130.35877990722656,134.03704833984375,135.5546112060547,0.045540302991867065,0.04979253187775612,2024Q3
2024-10-01,130.689208984375,128.40969848632812,142.81838989257812,0.043279338628053665,0.04845743998885155,2024Q4
2024-11-01,128.90164184570312,139.14866638183594,127.42887115478516,0.09445249289274216,0.08195377886295319,2024Q4
2024-12-01,142.36643981933594,128.26246643066406,164.81373596191406,0.0278183463960886,0.051894135773181915,2024Q4
2025-01-01,113.233154296875,117.08644104003906,109.50493621826172,0.006254691164940596,0.0,2025Q1
2025-02-01,136.9805908203125,138.7676544189453,140.7871551513672,0.06061830744147301,0.012768130749464035,2025Q1
2025-03-01,175.901123046875,195.67752075195312,159.82244873046875,0.07113640755414963,0.05798446014523506,2025Q1
2025-04-01,141.1845245361328,159.26712036132812,132.4676055908203,0.16380512714385986,0.14255167543888092,2025Q2
2025-05-01,167.42288208007812,206.15826416015625,149.22117614746094,0.09949666261672974,0.14347201585769653,2025Q2
2025-06-01,222.58563232421875,288.1604919433594,183.72996520996094,0.11189159005880356,0.13850416243076324,2025Q2
2025-07-01,134.64071655273438,156.7975311279297,119.74867248535156,0.10261982679367065,0.07368291914463043,2025Q3
2025-08-01,138.98846435546875,160.41519165039062,121.7310562133789,0.09590792655944824,0.08891146630048752,2025Q3
2025-09-01,125.86952209472656,141.8061065673828,114.78914642333984,0.08491182327270508,0.11109739542007446,2025Q3
2025-10-01,153.4799346923828,166.6230010986328,151.14178466796875,0.04378283768892288,0.024363502860069275,2025Q4
2025-11-01,103.939208984375,118.0085678100586,88.70289611816406,0.05028283968567848,0.0777604952454567,2025Q4
2025-12-01,132.48622131347656,146.3589324951172,123.53462219238281,0.032786883413791656,0.03985651582479477,2025Q4
