symbol,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
SCI,1,0,1,0,1
SCR,0,1,0,0,0
SCS,0,0,0,0,0
SD5,1,0,0,1,0
SD9,1,0,0,0,1
SDC,0,0,0,0,0
SDG,0,0,0,0,0
SDN,0,1,0,0,0
SDU,1,1,1,0,0
SEB,0,0,0,0,0
SED,0,0,0,0,0
SFC,0,0,0,0,0
SFG,1,0,1,1,1
SFI,0,0,0,0,0
SFN,0,0,0,0,0
SGC,0,0,0,0,0
SGD,0,0,0,0,0
SGH,0,0,0,0,0
SGN,0,0,0,0,0
SGR,1,1,1,0,0
SGT,0,0,0,0,0
SHA,1,0,1,0,0
SHE,0,0,0,0,0
SHI,1,0,0,0,1
SHN,1,0,0,1,0
SHP,0,0,0,0,0
SHS,0,0,0,0,0
SJ1,1,0,0,1,0
SJD,0,0,0,0,0
SJE,0,0,0,0,0
SJS,1,0,1,0,0
SKG,0,0,0,0,0
SLS,0,1,0,0,0
SMA,0,0,0,0,0
SMB,0,0,0,0,0
SMC,1,0,1,1,0
SMN,1,1,1,0,0
SMT,1,0,1,0,0
SPM,0,0,0,0,0
SRA,0,0,0,0,0
SRC,0,0,0,0,0
SRF,1,0,0,1,0
SSI,1,0,0,0,0
SSM,1,0,1,1,0
ST8,0,0,0,0,0
STB,0,0,0,0,0
STC,0,0,0,0,0
STG,0,0,0,0,0
STK,0,0,0,0,0
STP,0,0,0,0,0
SVC,1,0,0,1,1
SVN,0,0,0,0,0
SVT,0,0,0,0,0
SZB,0,0,0,0,0
SZC,0,0,0,0,0
SZL,0,0,0,0,0
TA9,1,1,1,1,0
TBC,0,0,0,0,0
TCB,0,0,0,0,0
TCH,0,0,0,0,0
TCL,0,0,0,0,0
TCM,1,0,1,0,0
TCO,0,0,0,0,0
TCR,1,0,1,0,0
TCT,0,0,0,0,0
TDC,1,0,1,0,0
TDG,0,0,0,0,0
TDH,0,0,0,0,0
TDM,0,0,0,0,0
TDT,1,0,1,0,1
TDW,0,0,0,0,0
TEG,0,0,0,0,0
TET,0,0,0,0,0
