symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
BTT,-0.5212295507145717,-0.2431127963222987,-0.3148085819518514,-0.2066720982372766,-0.6313383462773463,0,0,0,1,0,0,0,0,0,-0.7643423470368703,0,0
BTW,-0.7978279611922244,-0.3065431419082428,0.0129610031469786,-0.5044673340752825,-0.6573777383005245,0,0,1,0,0,0,0,0,0,-1.104371103100467,0,0
BVH,-0.2359463144485148,-1.1564099283108658,-1.0915067152819806,-0.3597988344192571,-0.6494166868169814,0,0,0,1,0,0,0,0,0,-1.3923562427593805,0,0
BVS,-0.5884920535279674,-0.8045920144524698,-0.9076560043666818,-0.2818335859126175,-0.6511817974349068,0,0,0,1,0,0,0,0,0,-1.3930840679804372,0,0
BWE,-0.033545441843626,-0.6637554263386921,-0.7800699518576982,-0.1177326490212879,-0.6024019993430185,1,0,0,1,0,0,0,0,0,-0.6973008681823181,0,0
BXH,-0.9099491660894032,-0.8502400326207053,-0.8995619488375893,-0.4014085546815933,-0.6144877886367911,0,0,0,0,0,0,0,0,0,-1.7601891987101085,0,0
C32,0.4882756356433889,0.5924550719865537,0.3624073285287493,0.5484263425248169,-0.4026399648453235,1,1,1,1,1,1,0,1,0,1.0807307076299427,1,0
C47,0.8699998589269463,0.4736568805263554,0.281708960428208,0.5148338500841069,-0.4882510211652626,1,1,1,1,0,1,0,1,1,1.3436567394533017,1,1
C69,1.1242550184175645,0.2095933530506865,0.0434223786360972,0.3128056624380091,-0.5753398638801158,1,1,1,1,0,1,0,1,1,1.333848371468251,1,1
CAG,1.1595210909271073,1.0220289852056597,0.9254762646803324,0.5548527048384629,-0.2709900974571441,1,1,1,1,1,1,0,1,0,2.181550076132767,1,1
CAN,-0.7026523796367188,-1.1063759431322038,-1.0267811361700947,-0.3960521951650664,-0.6220448063578695,0,0,0,0,0,0,0,0,0,-1.8090283227689225,0,0
CAP,-0.3930272997782217,-0.5870839253530277,-0.876397230281091,0.1376412823550143,-0.6463246017959504,0,0,0,1,0,0,0,0,0,-0.9801112251312495,0,0
CCI,-0.9093107187301088,-1.1063411551430054,-1.0862956939607678,-0.3618863092701652,-0.6405324762653731,0,0,0,1,0,0,0,0,0,-2.015651873873114,0,0
CCL,0.4333299093339234,-0.1803356920238242,-0.2773651268866777,-0.1448151004916081,-0.5426042033767369,1,0,0,1,0,0,0,0,0,0.2529942173100992,0,0
CDC,0.508662689150999,0.028045470242643,-0.0597074801552977,0.1625204651242652,-0.513644361860882,1,1,1,1,0,1,0,0,0,0.536708159393642,0,0
CDN,-0.7014072496788531,-0.8927835696516648,-0.8910337192684308,-0.5020804263183136,-0.5920345874297184,0,0,0,0,0,0,0,0,0,-1.594190819330518,0,0
CEO,1.6268339444297082,-0.2893633958734285,-0.7920312298123988,0.995444569377183,-0.6263921120918412,1,0,0,1,0,0,0,1,1,1.3374705485562796,1,1
