symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
BAX,8,0.15886006461243646,0.0028920411672155484,0.05077971439810376,0.40317054692905163,0,0,0,0,0
BBS,8,0.6749548527197737,0.3415246968651149,0.38737778525363314,0.014041837223495671,1,0,0,1,1
BCC,8,0.5755108053964973,0.0435045089957701,0.6770740432565809,0.03638449220071748,1,0,0,0,1
BCE,8,0.674246764225436,0.3491213518376299,0.03058896560686901,0.05928943351655596,1,0,0,0,0
BED,8,0.3023834995404785,0.10922712284859654,0.3335529297317268,0.1233593895453501,0,0,0,0,0
BFC,8,0.6339560637490677,0.5664432850845218,0.20123238436269697,0.034711706726306205,1,1,1,0,0
BHN,8,0.3989428911067547,0.0939352414886975,0.3584313066618261,0.07519651923625459,0,0,0,0,0
BIC,8,0.5884932504115199,0.0068103194568029796,0.004434396410781431,,1,0,0,0,0
BKC,8,0.5382551489351107,0.4512104732416812,0.2858409396025038,-0.0007829462155881303,1,1,1,1,1
BMC,8,0.14046253490335453,0.38938524312569656,0.22764559208003676,0.145630721844219,0,0,0,0,0
BMI,8,0.600173156851447,0.07386770193477125,0.06944855849506149,,1,0,0,0,0
BMP,8,0.115702597811319,0.35812696245313713,0.298998872702125,0.12826691024173453,0,0,0,0,0
BPC,8,0.5735069092122695,0.7409665300039547,0.01637223467280117,0.02543379486934253,1,1,1,1,0
BRC,8,0.23809340930234507,0.3837285517898271,0.39773089486928936,0.09341839751165021,0,0,0,0,0
BTP,8,0.16847928837058918,0.17792946765724613,0.1363013518242386,0.09244503245360053,0,0,0,0,0
BTS,8,0.5838987087474092,0.03491244093985997,0.7110999233987123,0.018927919105192224,1,0,0,1,1
BTT,8,0.12790454835517406,0.012609868258325052,0.3826950382856359,0.1863111763725235,0,0,0,0,0
BTW,8,0.25226706052715014,-0.03478110553288392,0.4948225478230919,0.07340435191547082,0,0,0,0,0
BVH,8,0.21038166737618097,0.04345396607825836,0.014657672863956578,,0,0,0,0,0
BVS,8,0.23723738010240725,0.01089518919812444,0.006132486237003753,,0,0,0,0,0
BWE,8,0.12299104106494661,0.06955092451822097,0.34992496261053196,0.18244913671695112,0,0,0,0,0
BXH,8,0.5836248313858745,0.5940553674872381,0.07516168568313217,0.014621329774909873,1,1,1,1,0
C32,8,0.3392913893191281,0.3010570700864116,0.2061415211896208,0.09979247803001737,0,0,0,0,0
C47,8,0.5782142408052868,0.48207945715133205,0.3329980494773753,0.008351667360720396,1,1,1,1,1
C69,8,0.6182443191710421,0.635653262665471,0.13328768699688237,0.02341995814699769,1,1,1,1,0
CAG,8,0.038680240494708876,0.09962004424905596,0.5306452491913767,0.06148178542446062,0,0,0,0,0
CAN,8,0.5154081158527328,0.485974488729812,0.2320399953094855,0.008602985152260986,1,1,1,1,0
CAP,8,0.38378179341103824,0.4941075007182095,0.1995563003225626,0.06445281147378946,0,1,0,0,0
CCI,8,0.03843954582681422,0.04003030805757943,0.0347308613783065,0.10399633733280234,0,0,0,0,0
CCL,8,0.2914664865926475,0.48188291756599955,0.015594324254509954,0.10443419122736983,0,1,0,0,0
CDC,8,0.5138238436070008,0.5572881250650117,0.013158823156050731,0.07678153046282926,1,1,1,0,0
CDN,8,0.09336604099225324,0.03569612960741597,0.6400836762128799,0.2809703779335606,0,0,0,0,0
CEO,8,0.5371590245796514,0.38450869880258487,0.16497791956740795,0.19628545414600482,1,0,0,0,0
CET,8,0.2853455871695684,0.5797358969299107,0.24891415145760634,0.016257090702388108,0,1,0,0,0
CHP,8,0.0999269396495144,0.007043850710182745,0.8348498595464553,0.16718091173668964,0,0,0,0,0
CIA,8,0.14048085860640908,0.17338099912698884,0.3247579863072728,0.12720838230115322,0,0,0,0,0
CIG,8,0.5527999223666997,0.42545163111680323,0.024123105368793626,-2.1593122347239238,1,0,0,1,0
CII,8,0.26696991948587534,0.2309763925915049,0.23980796740399676,0.06221198078053643,0,0,0,0,0
CJC,8,0.6013434954730924,0.636012060967081,0.08725790223368998,0.004713097100227262,1,1,1,1,0
CKV,8,0.5360596291208337,0.21340025173303076,0.269231100104306,0.02061798594397527,1,0,0,1,1
CLC,8,0.3719951866556508,0.7092772580917149,0.07101677117555084,0.09105959294543028,0,1,0,0,0
CLH,8,0.4846478076328088,0.08604723558673213,0.7816402844593577,0.05171104513081548,1,0,0,0,1
CLL,8,0.09368249529652024,0.1339222702443979,0.5154373210588913,0.30549697314167046,0,0,0,0,0
CLM,8,0.827747626182251,0.4723202600579669,0.0010008025292217186,0.00908429000565359,1,1,1,1,0
CLW,8,0.40308558802796224,-0.09227324547391852,0.4867527985310057,0.023068782149190264,0,0,0,0,0
CMC,8,0.4184067201882159,0.29793604789621586,0.012664880761138569,0.005396201469705399,0,0,0,0,0
CMG,8,0.4741547857263537,0.23792679192679553,0.29979782067266936,0.0476008884302639,1,0,0,0,1
CMS,8,0.4481897135511911,0.3563979023119773,0.30786961991236333,0.02149594243683567,0,0,0,0,0
CMV,8,0.7175587356109694,0.4271599562813464,0.15253036291902733,-0.0005403002262873431,1,0,0,1,0
CMX,8,0.8247840146987742,0.382015352397411,0.15475556966268417,0.08682417957003685,1,0,0,0,0
CNG,8,0.3570257225683625,0.07349022501940178,0.20236687374348872,0.058238203665929994,0,0,0,0,0
COM,8,0.11108589343092158,0.2951037909747072,0.48597932674993016,0.023528264542478486,0,0,0,0,0
