group,event_q,term,beta,se,p,q_fdr_event
CashConversionTrap,-8,lead_m8,0.00901645340976249,0.004347618216304755,0.038109993473942394,0.11533287498693093
CashConversionTrap,-7,lead_m7,5.3838144952117504e-05,,,1.0
CashConversionTrap,-6,lead_m6,0.013865521149997418,0.00457770559732995,0.0024591360685517483,0.010474098069757446
CashConversionTrap,-5,lead_m5,0.027917261300373777,0.006814474199933517,4.215420351028065e-05,0.00023084444779439405
CashConversionTrap,-4,lead_m4,0.0022187131737815956,0.007028309431788421,0.7522487548740198,1.0
CashConversionTrap,-3,lead_m3,-0.017197692074022358,,,1.0
CashConversionTrap,-2,lead_m2,0.018091028498956826,0.008614761481809407,0.035747971989374516,0.11110856158859646
CashConversionTrap,0,lag_0,-0.015118567499253195,0.005954473073128057,0.011127808584590726,0.04128058023315914
CashConversionTrap,1,lag_1,-0.02655306081922787,,,1.0
CashConversionTrap,2,lag_2,0.008373781870412671,0.005004308812392448,0.09428974737248796,0.2521702546008399
CashConversionTrap,3,lag_3,0.010359545958031164,0.004527444996122836,0.02214400273862882,0.07489883279242102
CashConversionTrap,4,lag_4,-0.0018733065105934934,0.002048544746069444,0.36049379921981717,0.7972459021207494
CashConversionTrap,5,lag_5,0.0037166811499826408,0.00042242884741329104,0.0,0.0
CashConversionTrap,6,lag_6,0.0072314282799230785,0.005449163323965478,0.1845086591507834,0.4330305265783692
CashConversionTrap,7,lag_7,-0.002872893507779194,,,1.0
CashConversionTrap,8,lag_8,0.003942596981720326,0.0043827742467796695,0.36836782535485835,0.7992886776567681
CashConversionTrap,9,lag_9,-0.008605148774162444,0.0030662456918267265,0.0050171918101598045,0.019232568605612583
CashConversionTrap,10,lag_10,0.018993677259683043,0.0064792908330030844,0.0033798450402040547,0.013402833780119527
CashConversionTrap,11,lag_11,0.0014617642307456953,,,1.0
CashConversionTrap,12,lag_12,-0.012232150462144752,0.0020118900732067607,1.2364123058716814e-09,1.093749347501872e-08
CashConversionTrap,13,lag_13,-0.009201351101055563,0.002265122100105984,4.890350228725637e-05,0.0002556319437742947
CashConversionTrap,14,lag_14,-0.006348866126401971,,,1.0
CashConversionTrap,15,lag_15,-0.007048144952208859,,,1.0
DoubleExposure_TopTercile,-8,lead_m8,-0.006336926370835591,,,1.0
DoubleExposure_TopTercile,-7,lead_m7,-0.015039856010940302,,,1.0
DoubleExposure_TopTercile,-6,lead_m6,0.005940808363235329,0.007882827295048552,0.4510796440449254,0.926324269020829
DoubleExposure_TopTercile,-5,lead_m5,0.018504142142376546,0.013767769071896174,0.17896598011444342,0.428772660690854
DoubleExposure_TopTercile,-4,lead_m4,0.005278089895247762,0.012938814885213342,0.6833341771438084,1.0
DoubleExposure_TopTercile,-3,lead_m3,-0.02762252744880239,,,1.0
DoubleExposure_TopTercile,-2,lead_m2,0.00372086063187501,0.014742762680876119,0.8007470828977241,1.0
DoubleExposure_TopTercile,0,lag_0,-0.021228112963109374,0.009238552309378804,0.021590584662003254,0.07489883279242102
DoubleExposure_TopTercile,1,lag_1,-0.04599658646222901,,,1.0
DoubleExposure_TopTercile,2,lag_2,-0.013416915043174512,0.008077707930800983,0.09674174976360916,0.2528477550639785
DoubleExposure_TopTercile,3,lag_3,0.01677231146887672,0.010324146128903157,0.1042784456052499,0.2664893609911942
DoubleExposure_TopTercile,4,lag_4,-0.009739961899035204,,,1.0
DoubleExposure_TopTercile,5,lag_5,-0.011840516209741704,,,1.0
DoubleExposure_TopTercile,6,lag_6,0.00605270216235249,0.010224455630813485,0.5538724949036555,1.0
DoubleExposure_TopTercile,7,lag_7,-0.02717227156489624,,,1.0
