shock,event_date,trade_date,horizon,group,treated_car,control_car,diff,p,n_t,n_c
THREATS_z,2020-01-04,2020-01-06,post1,AssetCommitmentMismatch,0.0038061606769558393,-0.0015520871694713544,0.005358247846427194,0.2715976066212021,28,238
THREATS_z,2020-01-04,2020-01-06,post5,HighLiab_TopTercile,0.005709590219250453,-0.0016739442814986238,0.007383534500749077,0.4466436015250928,87,213
THREATS_z,2020-01-04,2020-01-06,post5,CashConversionTrap,-0.010935522539687366,0.0017813584232189246,-0.01271688096290629,0.4426377025604433,31,269
THREATS_z,2020-01-04,2020-01-06,post5,DoubleExposure_TopTercile,0.004236421256720865,-0.00019786172328179028,0.004434282980002655,0.7407631936385904,45,255
THREATS_z,2020-01-04,2020-01-06,post5,FragileLowMarginFunding,-0.010145291377501614,0.0014743131128854914,-0.011619604490387105,0.3057634878156832,26,274
THREATS_z,2020-01-04,2020-01-06,post5,AssetCommitmentMismatch,0.0003587114991897889,0.0004797924187386573,-0.00012108091954886839,0.9934537221299438,31,269
THREATS_z,2020-01-04,2020-01-06,post20,HighLiab_TopTercile,0.011748797817787144,0.00894840892602863,0.0028003888917585134,0.8650112455010385,99,218
THREATS_z,2020-01-04,2020-01-06,post20,CashConversionTrap,0.020346099251419558,0.008641434925578046,0.011704664325841512,0.6853131138456605,32,285
THREATS_z,2020-01-04,2020-01-06,post20,DoubleExposure_TopTercile,0.007831362083025385,0.010204829562409302,-0.002373467479383917,0.9167460274754494,51,266
THREATS_z,2020-01-04,2020-01-06,post20,FragileLowMarginFunding,-0.017624272305125636,0.013012271534874349,-0.030636543839999985,0.14223303017339067,33,284
THREATS_z,2020-01-04,2020-01-06,post20,AssetCommitmentMismatch,0.011246109495535792,0.0096631881613264,0.001582921334209392,0.9595259098861708,32,285
THREATS_z,2020-01-04,2020-01-06,pre5,HighLiab_TopTercile,-0.005259858927373299,-0.000345126350271364,-0.004914732577101935,0.16059407954000707,85,206
THREATS_z,2020-01-04,2020-01-06,pre5,CashConversionTrap,-0.0034464703769420697,-0.0015963221223332495,-0.0018501482546088202,0.6670842314208947,29,262
THREATS_z,2020-01-04,2020-01-06,pre5,DoubleExposure_TopTercile,-0.003106791091655696,-0.0015444746111327157,-0.0015623164805229801,0.6878652398928039,44,247
THREATS_z,2020-01-04,2020-01-06,pre5,FragileLowMarginFunding,-0.008681295191820964,-0.0011036617433784388,-0.007577633448442525,0.27070741994549513,26,265
THREATS_z,2020-01-04,2020-01-06,pre5,AssetCommitmentMismatch,-0.0063996388922693765,-0.001229981658931849,-0.0051696572333375275,0.3029121765462074,31,260
THREATS_z,2024-10-14,2024-10-14,post1,HighLiab_TopTercile,-0.00234943393053117,-0.0009596901728130149,-0.0013897437577181553,0.6090474448130556,92,209
THREATS_z,2024-10-14,2024-10-14,post1,CashConversionTrap,-0.0019009609746889699,-0.0013272853818675965,-0.0005736755928213734,0.9173589999168675,30,271
THREATS_z,2024-10-14,2024-10-14,post1,DoubleExposure_TopTercile,-0.004120849629457261,-0.0009034567750047305,-0.0032173928544525303,0.41533965497209935,45,256
THREATS_z,2024-10-14,2024-10-14,post1,FragileLowMarginFunding,-0.0017201579202437646,-0.0013459195266638188,-0.0003742383935799458,0.9028149243104658,31,270
THREATS_z,2024-10-14,2024-10-14,post1,AssetCommitmentMismatch,-0.004512406292893941,-0.00103819549424343,-0.003474210798650511,0.19355214800546133,30,271
THREATS_z,2024-10-14,2024-10-14,post5,HighLiab_TopTercile,0.00036718577094927953,0.0011912525833610264,-0.0008240668124117469,0.8605025317698826,98,220
THREATS_z,2024-10-14,2024-10-14,post5,CashConversionTrap,0.009088695233802787,2.52500923453357e-05,0.009063445141457451,0.4297653740628653,32,286
THREATS_z,2024-10-14,2024-10-14,post5,DoubleExposure_TopTercile,0.0006517600013546376,0.000988056643805306,-0.00033629664245066833,0.9667383909192756,48,270
THREATS_z,2024-10-14,2024-10-14,post5,FragileLowMarginFunding,0.003951842637098984,0.0005763983247573582,0.003375444312341626,0.6019088549121403,34,284
THREATS_z,2024-10-14,2024-10-14,post5,AssetCommitmentMismatch,-0.00622199647004257,0.0017105981340201214,-0.007932594604062692,0.0978545908031073,31,287
THREATS_z,2024-10-14,2024-10-14,post20,HighLiab_TopTercile,0.025310927687368857,0.010477716252135647,0.01483321143523321,0.24914466193982324,101,222
THREATS_z,2024-10-14,2024-10-14,post20,CashConversionTrap,0.036493535755392006,0.012765166873628263,0.023728368881763745,0.38365708713722496,32,291
THREATS_z,2024-10-14,2024-10-14,post20,DoubleExposure_TopTercile,0.04055515938152549,0.010346116088016794,0.030209043293508698,0.16344838605542292,51,272
THREATS_z,2024-10-14,2024-10-14,post20,FragileLowMarginFunding,0.03404915011399422,0.01274107073273372,0.021308079381260496,0.34634981700211986,36,287
THREATS_z,2024-10-14,2024-10-14,post20,AssetCommitmentMismatch,0.02458469489769847,0.014074730129457105,0.010509964768241363,0.6551507147228202,32,291
THREATS_z,2024-10-14,2024-10-14,pre5,HighLiab_TopTercile,0.0005843761725508122,0.0020714045586877187,-0.0014870283861369064,0.7344947482373647,101,219
THREATS_z,2024-10-14,2024-10-14,pre5,CashConversionTrap,0.0005731014773969791,0.001716390085081733,-0.001143288607684754,0.8825353217619973,32,288
THREATS_z,2024-10-14,2024-10-14,pre5,DoubleExposure_TopTercile,0.0014250311666617207,0.0016356245437936605,-0.00021059337713193985,0.9729003139126119,51,269
THREATS_z,2024-10-14,2024-10-14,pre5,FragileLowMarginFunding,-0.006232317370803369,0.002595151468764661,-0.008827468839568031,0.12461709715271088,36,284
THREATS_z,2024-10-14,2024-10-14,pre5,AssetCommitmentMismatch,5.83037004433587e-05,0.0017735898380765798,-0.0017152861376332211,0.7278397221177777,32,288
THREATS_z,2024-01-08,2024-01-08,post1,HighLiab_TopTercile,0.002593944236725096,0.004494603002692619,-0.0019006587659675233,0.4537110198050491,91,209
THREATS_z,2024-01-08,2024-01-08,post1,CashConversionTrap,0.00629535182679024,0.003644107979458155,0.002651243847332085,0.5464275049606743,31,269
THREATS_z,2024-01-08,2024-01-08,post1,DoubleExposure_TopTercile,0.0029937692524405436,0.004098510994960775,-0.0011047417425202313,0.739472606838135,49,251
THREATS_z,2024-01-08,2024-01-08,post1,FragileLowMarginFunding,0.004265192210881827,0.003876622396852697,0.00038856981402912976,0.9130080381858136,32,268
THREATS_z,2024-01-08,2024-01-08,post1,AssetCommitmentMismatch,-0.0020002822303708786,0.004600110417272262,-0.006600392647643141,0.024929648909028275,31,269
THREATS_z,2024-01-08,2024-01-08,post5,HighLiab_TopTercile,-0.0016149513029950456,0.010381068835462344,-0.01199602013845739,0.04295710042372454,99,219
THREATS_z,2024-01-08,2024-01-08,post5,CashConversionTrap,-0.009598844907278204,0.008527493957578682,-0.018126338864856886,0.036743174553047965,33,285
THREATS_z,2024-01-08,2024-01-08,post5,DoubleExposure_TopTercile,-0.008469869541402832,0.009601530496701847,-0.01807140003810468,0.02836194691553071,52,266
THREATS_z,2024-01-08,2024-01-08,post5,FragileLowMarginFunding,0.011454604768915947,0.006070835682488034,0.005383769086427913,0.5227944713756197,34,284
THREATS_z,2024-01-08,2024-01-08,post5,AssetCommitmentMismatch,0.00229723801615306,0.007116235252505222,-0.004818997236352162,0.4696025975483029,31,287
THREATS_z,2024-01-08,2024-01-08,post20,HighLiab_TopTercile,0.010007169482079246,0.023865278497094966,-0.01385810901501572,0.21370152106645846,101,222
THREATS_z,2024-01-08,2024-01-08,post20,CashConversionTrap,-0.015268682152203257,0.023492008465751012,-0.03876069061795427,0.0790154211251872,33,290
THREATS_z,2024-01-08,2024-01-08,post20,DoubleExposure_TopTercile,0.006611736983434759,0.022011090852053432,-0.015399353868618673,0.3763525068604079,52,271
THREATS_z,2024-01-08,2024-01-08,post20,FragileLowMarginFunding,0.027053806499635714,0.01861782193249249,0.008435984567143225,0.5898672258590565,35,288
THREATS_z,2024-01-08,2024-01-08,post20,AssetCommitmentMismatch,0.022627914048783594,0.01919148692262547,0.0034364271261581245,0.763130446927156,32,291
